1BCR;C;CBP2_WHEAT;;;;
6OBR;D,E;PP1A_HUMAN;;;;
6OBQ;C,D;PP1A_HUMAN;;;;
6OBU;C,D;PP1A_HUMAN;;;;
1H0I;C,D;CHIB_SERMA;;;;
6XA4;B;R1AB_SARS2;;;;
6YZ6;C;R1AB_SARS2;;;;
1FJM;M,N;PP1A_RABIT;;;;
6BKJ;F, G, H, I;CAN3_HUMAN;;;;
5WGQ;E,F;ESR1_HUMAN;;;;
4IMQ;B;POLG_NVN68;;;;
4INH;J, M, N, O, P, Q, S, T;POLG_NVN68;;;;
4IMZ;B;POLG_NVN68;;;;
1TL9;B;CAN1_RAT;;;;
1SGC;B;PRTA_STRGR;;;;
1IZE;B;PEPA_ASPOZ;;;;
1JRT;B;TRY1_BOVIN;;;;
1JRS;B;TRY1_BOVIN;;;;
4Y9W;B;G8B6Y8_CANPC;;;;
4NMT;C,D;GOPC_HUMAN;;;;
4NMS;C,D;GOPC_HUMAN;;;;
4NMR;C,D;GOPC_HUMAN;;;;
4NMQ;C,D;GOPC_HUMAN;;;;
4NMP;C,D;GOPC_HUMAN;;;;
4NMO;C,D;GOPC_HUMAN;;;;
4MZJ;T;Q8I4W8_PLAF7;;;;
3P72;B;GP1BA_HUMAN;;;;
3OE0;I;CXCR4_HUMAN;;;;
4I7D;B,D;SIAH1_HUMAN;;;;
4I7C;B,D;SIAH1_HUMAN;;;;
4I7B;B,D;SIAH1_HUMAN;;;;
4I5N;G,H;2AAA_HUMAN;;;;
4I5L;G,H;PP2AA_HUMAN;;;;
2P0R;D,E;CAN9_HUMAN;;;;
2NYL;G,H;2A5G_HUMAN;;;;
2NYM;G,H;2A5G_HUMAN;;;;
2NQA;D,E;CAN8_HUMAN;;;;
2NPP;X,Y;PP2AA_HUMAN;;;;
2QZX;C,D;CARP5_CANAL;;;;
2RMP;B;CARP_RHIMI;;;;
2PSX;B;KLK5_HUMAN;;;;
2PSY;B;KLK5_HUMAN;;;;
4ER2;I;CARP_CRYPA;;;;
4NMV;C,D;GOPC_HUMAN;;;;
4EJK;N;POL_HV1Z2;;;;
4EJD;C;POL_HV1Z2;;;;
4EXH;J, M, P;Q9E7M1_9GAMR;;;;
4G5G;I;EFTU1_ECOLI;;;;
4BP9;G, H, I, J, K, L;O76728_TRYBB;;;;
3V4L;B;MALT1_MOUSE;;;;
3V4O;B;MALT1_HUMAN;;;;
3UOA;L, M;MALT1_HUMAN;;;;
3UO8;L, M;MALT1_HUMAN;;;;
3BPM;C,D;Q9NAW4_PLAFA;;;;
5LW1;C, F, I;MK08_HUMAN;;;;
5MS4;E, F, G, H;KLK8_HUMAN;;;;
5K99;C, D;A0A0F7RFM6_BACAN;;;;
5JPF;M,N;C4YM68_CANAW;;;;
5N7Q;I,J;V5HCK7_IXORI;;;;
5I70;C,D;W7FF86_PLAF8;;;;
5HVP;C;POL_HV1N5;;;;
5FC3;A;G0SHM3_CHATD;;;;
5FC2;A;G0SHM3_CHATD;;;;
5EPK;B;CBX2_HUMAN;;;;
5EPJ;B;CBX7_HUMAN;;;;
5EQ0;B;CBX8_HUMAN;;;;
2XE4;B;Q4QHU7_LEIMA;;;;
2Z2P;C,D;VGB_STAAU;;;;
3E7A;C,D;PP1A_HUMAN;;;;
3DW8;G,H;PP2AA_HUMAN;;;;
3EGH;E, F;NEB2_RAT;;;;
3EMY;B;Q2WBH2_HYPJE;;;;
3MGB;C,D;B7T1D7_9BACT;;;;
3MG9;B, C;B7T1D7_9BACT;;;;
3FGA;E;PP2AA_HUMAN;;;;
3FNT;I;Q8IM15_PLAF7;;;;
3FV3;I, J, K, L, M, N, O, P;CARP1_CANPA;;;;
2V3H;I;THRB_HUMAN;;;;
2V3O;I;THRB_HUMAN;;;;
4YV8;B;CATK_HUMAN;;;;
3Q4K;C,D;DPO3B_ECOLI;;;;
3Q4L;C,D;DPO3B_ECOLI;;;;
4TVG;C;Q90EA1_9HIV1;;;;
5D13;E, F, G, H;DLG4_RAT;;;;
1A2C;I;THRB_HUMAN;;;;
2IAE;M,N;PP2AA_HUMAN;;;;
2IE3;I;PP2AA_HUMAN;;;;
2H6T;B;CARP3_CANAL;;;;
2FO5;E, F, G, H;CYSP2_HORVU;;;;
